Day,Date,Vehicle,Runs,1 origin,1 arrival,2 origin,2 arrival,3 origin,3 arrival,4 origin,4 arrival,5 origin,5 arrival,6 origin,6 arrival,1 d time,1 a time,2 d time,2 a time,3 d time,3 a time,4 d time,4 a time,5 d time,5 a time,6 d time,6 a time,Fuel,Receipts,Women,Men,Child,0,500,1000,1500,2000,2500,3000,4000
1,6-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,,,10:11,10:44,12:14,12:55,14:25,,,,,70000,2,3,5,1,0,0,6,0,3,0,0,0
1,6-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,,10:00,11:16,12:33,13:44,15:10,16:36,,,,,70000,2,7,4,1,0,0,8,2,2,0,0,0
1,6-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:40,,,10:45,11:31,13:30,14:30,16:25,,,,,70000,2,12,4,0,0,8,5,0,3,0,0,0
1,6-Feb,UAW296P,5,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,7:13,7:23,9:10,10:22,10:30,12:00,13:33,15:36,17:36,,,105000,3,6,4,1,0,4,6,0,1,0,0,0
1,6-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,,9:25,10:00,11:02,12:13,13:39,14:36,15:57,,,,,70000,2,9,4,0,0,0,12,0,0,0,1,0
1,6-Feb,UAW368B,6,KM,BK,BK,KM,KM,BK,BK,KM,,,,,,8:57,9:08,10:30,11:00,12:18,13:23,14:45,14:54,16:31,17:11,19:30,105000,2,30,16,0,0,8,16,0,1,0,18,3
1,6-Feb,UBA736E,6,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:06,,,9:13,9:24,10:43,11:30,12:54,14:22,16:00,16:42,17:54,105000,3,13,6,2,1,0,16,0,4,0,0,0
1,6-Feb,UAL132M,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,10:30,11:30,12:50,14:16,16:15,17:58,,19:58,,,,,70000,2,7,12,1,0,13,6,0,0,0,1,0
2,7-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:35,8:51,10:13,12:03,14:15,15:55,17:25,,,,,70000,2,7,9,1,0,11,4,0,2,0,0,0
2,7-Feb,UAW647C,2,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:51,8:10,8:35,10:14,,,,,,,,,35000,1,4,1,2,0,5,1,0,2,0,0,0
2,7-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:52,9:06,9:37,11:28,13:32,15:09,16:08,17:22,,,,,70000,2,6,3,1,0,7,2,0,0,0,1,0
2,7-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:22,8:20,9:06,10:45,,13:33,14:25,16:17,,,,,70000,1,5,2,0,0,0,4,0,2,0,0,1
2,7-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:06,7:50,8:30,9:26,10:13,11:55,13:24,14:59,,,,,70000,2,8,3,1,1,0,9,0,2,0,0,0
2,7-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:47,9:38,10:38,11:54,12:55,14:43,15:34,17:25,,,,,70000,2,2,9,1,0,2,9,0,1,0,0,0
2,7-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,8:07,8:30,10:00,11:30,13:38,14:52,16:34,,,,,70000,2,8,9,3,0,13,5,0,2,0,0,0
2,7-Feb,UAL132M,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,9:55,11:40,13:15,14:00,15:27,16:57,17:40,19:30,,,,,70000,2,17,9,1,0,19,5,0,0,1,2,0
2,7-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:50,10:25,11:41,12:52,13:46,15:21,16:16,17:44,,,,,70000,2,13,4,0,0,6,10,0,1,0,0,0
3,8-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:08,8:30,10:16,11:41,13:34,15:26,17:13,,,,,70000,2,3,5,0,0,3,2,1,3,0,0,0
3,8-Feb,UAL132M,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,9:25,11:10,13:03,14:27,15:40,16:56,,19:54,,,,,70000,2,10,5,2,0,11,5,0,1,0,0,0
3,8-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:38,9:27,10:00,11:41,12:26,14:02,16:12,17:46,,,,,70000,1,14,10,1,0,9,11,0,4,0,1,0
3,8-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:53,10:17,11:47,13:20,13:30,15:47,16:53,19:30,,,,,70000,2,14,9,0,0,7,5,0,11,0,0,0
3,8-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:25,7:59,8:21,10:00,11:01,13:09,14:11,15:55,,,,,70000,2,7,7,0,0,0,11,0,1,0,0,2
3,8-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:01,9:17,10:45,12:00,14:47,16:28,16:37,18:06,,,,,70000,2,20,13,0,0,6,6,2,0,8,1,0
3,8-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:22,8:25,8:51,10:05,12:01,12:56,14:00,15:47,,,,,70000,1,11,8,0,0,6,7,0,3,0,2,0
3,8-Feb,UAW035Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:41,8:48,10:19,11:48,14:04,15:24,16:03,17:45,,,,,70000,1,10,7,3,0,14,3,0,3,0,0,0
4,9-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:25,9:28,9:42,12:38,14:07,16:16,16:54,18:33,,,,,85000,3,16,7,0,0,5,14,0,3,0,1,0
4,9-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:40,10:48,12:44,14:30,16:31,17:59,18:02,19:12,,,,,70000,2,11,13,0,0,10,10,0,2,0,2,0
4,9-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:13,9:58,10:48,13:06,14:49,16:51,17:10,18:47,,,,,70000,1,10,19,1,0,17,5,0,8,0,0,0
4,9-Feb,UAL132M,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,9:00,11:20,12:24,14:06,15:40,17:55,18:29,20:00,,,,,70000,2,10,5,0,0,9,3,0,3,0,0,0
4,9-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:30,10:14,11:28,13:00,14:07,17:12,17:42,,,,,,70000,2,8,14,6,0,16,8,0,3,0,1,0
4,9-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:45,9:56,10:21,12:03,13:00,14:37,17:07,18:50,,,,,70000,1,9,11,2,0,9,7,0,4,0,1,0
5,10-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:12,9:58,10:51,12:40,15:00,16:50,17:00,20:00,,,,,70000,2,17,18,2,1,12,8,0,14,0,2,0
5,10-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,8:05,8:30,10:11,11:33,13:42,15:14,17:20,,,,,70000,2,7,9,2,0,9,8,0,1,0,0,0
5,10-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:00,9:12,9:34,11:12,13:28,15:33,16:21,19:03,,,,,70000,1,16,11,2,2,8,11,0,5,0,3,0
5,10-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,5:57,8:55,9:15,11:46,13:26,15:53,16:28,18:41,,,,,70000,2,19,2,3,1,7,13,0,2,0,1,0
5,10-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:50,9:25,10:03,12:03,14:01,16:01,16:59,18:59,,,,,70000,2,10,8,3,0,12,3,1,3,1,1,0
5,10-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:10,10:48,12:20,13:47,15:36,17:50,18:00,19:33,,,,,70000,2,10,10,0,0,5,12,0,3,0,0,0
5,10-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:23,9:44,10:54,12:42,15:30,17:10,17:30,19:25,,,,,70000,1,20,14,2,0,15,8,0,10,0,3,0
6,11-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,9:12,10:30,12:40,13:52,15:16,17:30,18:43,,,,,70000,1,10,7,3,0,13,3,0,3,0,1,0
6,11-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:20,8:59,9:30,11:12,12:40,15:17,16:16,18:37,,,,,70000,2,14,7,2,1,15,5,0,1,0,1,0
6,11-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:30,8:40,10:23,11:45,14:54,15:17,17:47,,,,,70000,1,13,2,0,0,4,10,0,1,0,0,0
6,11-Feb,UAS599E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:44,9:00,10:10,11:47,13:17,14:20,15:47,,,,,,70000,0,3,8,1,0,8,0,4,0,0,0,0
6,11-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:28,9:07,9:23,11:01,12:49,14:53,15:49,17:39,,,,,70000,2,11,8,0,0,9,8,0,1,0,1,0
6,11-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,6:23,8:05,8:30,10:05,11:03,14:05,14:31,16:30,,,,,70000,2,8,13,2,0,11,10,0,1,0,1,0
6,11-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:53,9:25,10:00,11:22,13:40,15:20,16:45,18:15,,,,,70000,1,9,8,0,0,7,4,0,2,0,4,0
7,13-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:32,8:12,8:30,10:37,12:30,14:19,16:23,18:02,,,,,70000,2,6,10,1,0,6,8,0,3,0,0,0
7,13-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,,10:00,10:37,12:11,14:30,16:49,17:22,19:30,,,,,70000,2,17,14,2,0,9,6,0,14,0,4,0
7,13-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:40,9:39,10:01,12:44,13:16,14:59,16:40,18:31,,,,,70000,1,8,9,0,0,10,5,0,1,0,1,0
7,13-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,5:55,8:06,8:34,12:30,14:54,16:10,16:20,19:06,,,,,70000,2,22,2,0,0,6,14,0,4,0,0,0
7,13-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:37,9:22,11:01,13:59,15:33,16:30,17:44,,,,,,70000,2,8,16,6,0,15,7,3,5,0,0,0
7,13-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:22,8:18,9:15,11:40,12:44,14:30,15:32,19:26,,,,,70000,2,14,16,8,0,28,8,0,3,0,0,0
7,13-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:12,8:30,10:18,11:59,13:51,15:25,16:40,18:40,,,,,70000,1,12,9,3,0,17,5,0,0,0,2,0
8,20-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:19,8:37,9:35,11:19,14:42,16:12,17:03,18:25,,,,,70000,2,14,8,2,0,12,10,0,2,0,0,0
8,20-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:35,7:59,8:34,10:45,12:11,13:29,15:00,16:41,,,,,70000,1,21,19,1,1,16,12,0,9,0,3,0
8,20-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:22,8:18,9:01,10:55,12:54,14:39,15:30,17:13,,,,,70000,2,18,14,8,0,19,17,0,4,0,0,0
8,20-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:33,9:34,10:30,12:05,13:35,14:50,16:10,18:08,,,,,70000,1,11,12,6,1,14,10,0,4,0,0,0
8,20-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:44,9:50,10:55,12:08,13:00,14:45,16:17,17:37,,,,,70000,1,11,9,0,0,9,7,0,4,0,0,0
8,20-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:02,10:20,11:09,12:43,13:45,15:21,16:59,18:49,,,,,70000,2,12,5,0,0,7,4,0,6,0,0,0
9,21-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:22,8:40,9:30,11:20,12:30,14:33,16:01,5:58,,,,,70000,2,6,7,1,0,10,4,0,0,0,0,0
9,21-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:40,9:20,10:46,12:30,13:30,15:26,16:56,19:05,,,,,70000,1,16,6,0,0,6,5,0,11,0,0,0
9,21-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:18,8:22,10:16,12:03,14:16,16:35,18:53,,,,,70000,1,12,9,4,0,13,9,0,1,0,2,0
9,21-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:15,8:44,10:09,11:46,14:43,16:15,17:02,18:39,,,,,70000,1,10,10,1,0,8,7,0,5,0,1,0
9,21-Feb,UAW035Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:33,9:54,11:19,12:58,14:05,15:24,15:50,18:14,,,,,70000,2,11,7,3,0,17,3,0,1,0,0,0
